[301] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 1023ms
[297] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 1161ms
[317] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 883ms
[294] URL: https://example.com | Código: 200 | Tiempo: 1237ms
[330] URL: https://www.mozilla.org | Código: 200 | Tiempo: 608ms
[329] URL: https://www.kernel.org | Código: 200 | Tiempo: 694ms
[335] URL: https://www.google.com | Código: 200 | Tiempo: 545ms
[325] URL: https://www.google.com | Código: 200 | Tiempo: 829ms
[313] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 1030ms
[319] URL: https://www.kernel.org | Código: 200 | Tiempo: 949ms
[288] URL: https://www.gnu.org | Código: 200 | Tiempo: 1429ms
[322] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 934ms
[306] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 1281ms
[296] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 1368ms
[323] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 960ms
[302] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 1333ms
[327] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 1016ms
[304] URL: https://example.com | Código: 200 | Tiempo: 1328ms
[339] URL: https://www.kernel.org | Código: 200 | Tiempo: 527ms
[312] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 1282ms
[340] URL: https://www.mozilla.org | Código: 200 | Tiempo: 574ms
[311] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 1350ms
[316] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 1275ms
[331] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 1025ms
[303] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 1495ms
[321] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 1265ms
[345] URL: https://www.google.com | Código: 200 | Tiempo: 483ms
[337] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 819ms
[332] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 1053ms
[326] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 1242ms
[333] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 1071ms
[336] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 943ms
[349] URL: https://www.kernel.org | Código: 200 | Tiempo: 446ms
[298] URL: https://www.gnu.org | Código: 200 | Tiempo: 1735ms
[314] URL: https://example.com | Código: 200 | Tiempo: 1565ms
[334] URL: https://example.com | Código: 200 | Tiempo: 1169ms
[308] URL: https://www.gnu.org | Código: 200 | Tiempo: 1687ms
[318] URL: https://www.gnu.org | Código: 200 | Tiempo: 1544ms
[324] URL: https://example.com | Código: 200 | Tiempo: 1418ms
[350] URL: https://www.mozilla.org | Código: 200 | Tiempo: 473ms
[347] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 684ms
[355] URL: https://www.google.com | Código: 200 | Tiempo: 492ms
[342] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 952ms
[346] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 803ms
[343] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 909ms
[341] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 1020ms
[328] URL: https://www.gnu.org | Código: 200 | Tiempo: 1565ms
[357] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 576ms
[359] URL: https://www.kernel.org | Código: 200 | Tiempo: 566ms
[360] URL: https://www.mozilla.org | Código: 200 | Tiempo: 570ms
[344] URL: https://example.com | Código: 200 | Tiempo: 1051ms
[365] URL: https://www.google.com | Código: 200 | Tiempo: 507ms
[369] URL: https://www.kernel.org | Código: 200 | Tiempo: 499ms
[338] URL: https://www.gnu.org | Código: 200 | Tiempo: 1373ms
[370] URL: https://www.mozilla.org | Código: 200 | Tiempo: 526ms
[353] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 905ms
[356] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 829ms
[351] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 951ms
[379] URL: https://www.kernel.org | Código: 200 | Tiempo: 418ms
[367] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 646ms
[352] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 997ms
[375] URL: https://www.google.com | Código: 200 | Tiempo: 520ms
[348] URL: https://www.gnu.org | Código: 200 | Tiempo: 1179ms
[366] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 773ms
[380] URL: https://www.mozilla.org | Código: 200 | Tiempo: 575ms
[354] URL: https://example.com | Código: 200 | Tiempo: 1187ms
[361] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 970ms
[363] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 973ms
[377] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 738ms
[376] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 798ms
[389] URL: https://www.kernel.org | Código: 200 | Tiempo: 477ms
[385] URL: https://www.google.com | Código: 200 | Tiempo: 615ms
[362] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 1088ms
[373] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 925ms
[371] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 1003ms
